name,category,muscle_group,equipment,description ,video_url,difficulty_level,calories_burned,intensity,tags,normalized_name,source_type,created_by,is_public
Smith Machine Squat,Strength,"Quadriceps, Glutes, Hamstrings",Smith Machine,A guided squat using the Smith machine to target the lower body with stabilized weight.,https://www.youtube.com/watch?v=U3HlEF_E9fo,Intermediate,0.6,Medium,"squat, smith_machine, compound",smith_machine_squat,default,,TRUE
Glute Kickback Machine,Strength,Glutes,Glute Kickback Machine,Targets the glutes by kicking the leg back against resistance.,https://www.youtube.com/watch?v=qXwjmULfFf8,Beginner,0.3,Low,"glutes, isolation, machine",glute_kickback_machine,default,,TRUE
Standing Calf Raise Machine,Strength,Calves,Standing Calf Raise Machine,Strengthens the calf muscles by raising the heels while under weight resistance.,https://www.youtube.com/watch?v=-M4-G8p8fmc,Beginner,0.25,Low,"calves, isolation, machine",standing_calf_raise_machine,default,,TRUE
Seated Calf Raise Machine,Strength,Calves (Soleus),Seated Calf Raise Machine,Isolates the soleus part of the calf by raising the heels while seated.,https://www.youtube.com/watch?v=YMmgqO8Jo-k,Beginner,0.25,Low,"calves, seated, isolation, machine",seated_calf_raise_machine,default,,TRUE
Weighted Decline Sit-Ups,Strength,Abdominals,"Decline Bench, Weight Plate or Dumbbell",An advanced abdominal exercise performed on a decline bench while holding weight for added resistance.,https://www.youtube.com/watch?v=_4B3lG5lG2g,Intermediate,0.4,Medium,"abs, core, decline, weighted",weighted_decline_sit_ups,default,,TRUE
Russian Twists (with Plate or Dumbbell),Strength,"Obliques, Abdominals",Weight Plate or Dumbbell,A core exercise targeting the obliques and abdominals by rotating the torso side to side while holding weight.,https://www.youtube.com/watch?v=wkD8rjkodUI,Intermediate,0.35,Medium,"core, obliques, twist, weighted",russian_twists_weighted,default,,TRUE
Dumbbell Side Bends,Strength,Obliques,Dumbbell,An isolation exercise for the obliques performed by bending laterally at the waist while holding a dumbbell.,https://www.youtube.com/watch?v=kt9SAPQM8cM,Beginner,0.3,Low,"obliques, side, dumbbell, isolation",dumbbell_side_bends,default,,TRUE
Weighted Plank,Strength,"Core, Abdominals, Lower Back",Weight Plate,An advanced variation of the plank performed with added weight on the back to increase core engagement.,https://www.youtube.com/watch?v=KuINaRZxEZg,Intermediate,0.4,Medium,"core, plank, weighted, static",weighted_plank,default,,TRUE
Barbell Back Squat,Strength,"Quadriceps, Glutes, Hamstrings","Barbell, Squat Rack","A compound lower body exercise that targets the quads, glutes, and hamstrings using a barbell on the upper back.",https://www.youtube.com/watch?v=Dy28eq2PjcM,Intermediate,0.6,High,"squat, barbell, legs, compound",barbell_back_squat,default,,TRUE
Barbell Front Squat,Strength,"Quadriceps, Core, Glutes","Barbell, Squat Rack","A variation of the squat that places the barbell on the front of the shoulders, emphasizing the quadriceps and core.",https://www.youtube.com/watch?v=tlfGU8Q3xwQ,Advanced,0.6,High,"squat, barbell, legs, front, core",barbell_front_squat,default,,TRUE
Romanian Deadlift (Barbell/Dumbbell),Strength,"Hamstrings, Glutes, Lower Back",Barbell or Dumbbells,A hip-hinge movement that targets the hamstrings and glutes by lowering the weight with minimal knee bend.,https://www.youtube.com/watch?v=2SHsk9AzdjA,Intermediate,0.5,Medium,"deadlift, hamstrings, glutes, barbell, dumbbell",romanian_deadlift,default,,TRUE
Dumbbell Walking Lunge,Strength,"Quadriceps, Glutes, Hamstrings",Dumbbells,A unilateral lower body exercise where you step forward into a lunge position while holding dumbbells.,https://www.youtube.com/watch?v=wrwwXE_x-pQ,Intermediate,0.45,Medium,"lunge, legs, dumbbell, walking, unilateral",dumbbell_walking_lunge,default,,TRUE
Bulgarian Split Squat (Bench + Dumbbell/Barbell),Strength,"Glutes, Quadriceps, Hamstrings","Bench, Dumbbells or Barbell",A challenging unilateral squat variation where the rear foot is elevated on a bench and the movement is loaded with dumbbells or a barbell.,https://www.youtube.com/watch?v=2C-uNgKwPLE,Advanced,0.55,High,"legs, squat, split, dumbbell, barbell, glutes",bulgarian_split_squat,default,,TRUE
Barbell Hip Thrust,Strength,"Glutes, Hamstrings","Barbell, Bench",A powerful glute-focused movement performed by thrusting the hips upward while a barbell rests on the hips.,https://www.youtube.com/watch?v=LM8XHLYJoYs,Intermediate,0.45,Medium,"glutes, hip_thrust, barbell",barbell_hip_thrust,default,,TRUE
Dumbbell Step-Up,Strength,"Quadriceps, Glutes, Hamstrings","Dumbbells, Bench or Box",A lower body exercise where you step onto a raised platform while holding dumbbells to engage the legs and glutes.,https://www.youtube.com/watch?v=3JJ1YvvGfRs,Intermediate,0.4,Medium,"step-up, legs, dumbbell, unilateral",dumbbell_step_up,default,,TRUE
Preacher Curl Machine,Strength,Biceps,Preacher Curl Machine,An isolation machine exercise that targets the biceps by curling the weight with support from a preacher bench.,https://www.youtube.com/watch?v=2z8JmcrW-As,Beginner,0.3,Low,"biceps, isolation, machine, curl",preacher_curl_machine,default,,TRUE
Cable Bicep Curl,Strength,Biceps,Cable Machine,Uses the cable machine to perform curls with constant tension on the biceps throughout the movement.,https://www.youtube.com/watch?v=ykJmrZ5v0Oo,Beginner,0.3,Low,"biceps, cable, curl, isolation",cable_bicep_curl,default,,TRUE
EZ Bar Curl,Strength,Biceps,EZ Curl Bar,A popular bicep exercise that uses the angled EZ bar to reduce wrist strain while targeting the biceps.,https://www.youtube.com/watch?v=kwG2ipFRgfo,Beginner,0.3,Low,"biceps, curl, ez_bar, free_weights",ez_bar_curl,default,,TRUE
Barbell Curl,Strength,Biceps,Barbell,A fundamental bicep movement that uses a straight barbell to perform curls and build arm size.,https://www.youtube.com/watch?v=kwG2ipFRgfo,Beginner,0.3,Low,"biceps, barbell, curl, free_weights",barbell_curl,default,,TRUE
"Dumbbell Curl (Standing, Seated, Concentration)",Strength,Biceps,Dumbbells,"Various forms of dumbbell curls including standing, seated, and concentration curls to target the biceps.",https://www.youtube.com/watch?v=sAq_ocpRh_I,Beginner,0.3,Low,"biceps, dumbbell, curl, isolation",dumbbell_curl_variations,default,,TRUE
Hammer Curl,Strength,"Biceps, Brachialis, Forearms",Dumbbells,A variation of the curl that targets the biceps and forearms with a neutral grip using dumbbells.,https://www.youtube.com/watch?v=zC3nLlEvin4,Beginner,0.3,Low,"biceps, brachialis, forearms, dumbbell",hammer_curl,default,,TRUE
Tricep Pushdown (Cable),Strength,Triceps,Cable Machine,An isolation exercise targeting the triceps by pushing a cable bar or rope downward while keeping the elbows tucked.,https://www.youtube.com/watch?v=2-LAMcpzODU,Beginner,0.3,Low,"triceps, cable, isolation, pushdown",tricep_pushdown_cable,default,,TRUE
Overhead Tricep Extension (Cable or Dumbbell),Strength,Triceps,Cable Machine or Dumbbell,An overhead isolation movement for the triceps performed using either a cable machine or a dumbbell.,https://www.youtube.com/watch?v=_gsUck-7M74,Beginner,0.3,Low,"triceps, overhead, extension, dumbbell, cable",overhead_tricep_extension,default,,TRUE
Tricep Dips (Machine or Bench),Strength,"Triceps, Chest, Shoulders",Dip Machine or Bench,A compound tricep exercise performed on a machine or bench to push the body upward using the triceps.,https://www.youtube.com/watch?v=6kALZikXxLc,Intermediate,0.4,Medium,"triceps, dips, machine, bench, compound",tricep_dips,default,,TRUE
Skull Crushers (EZ Bar),Strength,Triceps,EZ Curl Bar,An effective tricep isolation movement performed by lowering the EZ bar to the forehead and extending the elbows.,https://www.youtube.com/watch?v=d_KZxkY_0cM,Intermediate,0.35,Medium,"triceps, ez_bar, skull_crushers, isolation",skull_crushers_ez_bar,default,,TRUE
Close-Grip Bench Press,Strength,"Triceps, Chest","Barbell, Bench",A compound pressing movement using a narrow grip on the barbell to target the triceps along with chest support.,https://www.youtube.com/watch?v=5AqKE4eSD3g,Intermediate,0.45,Medium,"triceps, chest, bench_press, barbell, compound",close_grip_bench_press,default,,TRUE
Deadlift,Strength,"Hamstrings, Glutes, Back","Barbell",A foundational compound lift that targets the posterior chain by lifting a loaded barbell from the ground.,https://www.youtube.com/watch?v=op9kVnSso6Q,Intermediate,0.60,High,"hamstrings, glutes, back, barbell, compound",deadlift,default,,TRUE
